,LocationID,Borough,Zone,service_zone,lat,lon,"lat,lon",lat_6,lon_6,geohash_6
172,173,Queens,North Corona,Boro Zone,40.8772593,-73.8768626,"(40.8772593, -73.8768626)",40.88,-73.9,dr72wc
173,174,Bronx,Norwood,Boro Zone,40.753991,-73.765966,"(40.753991, -73.765966)",40.76,-73.8,dr5xc7
174,175,Queens,Oakland Gardens,Boro Zone,40.563994,-74.1159754,"(40.563994, -74.1159754)",40.56,-74.1,dr5qc2
175,176,Staten Island,Oakwood,Boro Zone,40.6757317,-73.9124338,"(40.6757317, -73.9124338)",40.67,-73.9,dr5rqh
176,177,Brooklyn,Ocean Hill,Boro Zone,40.577115,-73.968352,"(40.577115, -73.968352)",40.58,-74.,dr5quf
177,178,Brooklyn,Ocean Parkway South,Boro Zone,40.7720145,-73.9302673,"(40.7720145, -73.9302673)",40.77,-73.9,dr5rvw
178,179,Queens,Old Astoria,Boro Zone,40.67677,-73.8437461,"(40.67677, -73.8437461)",40.67,-73.8,dr5rrs
179,180,Queens,Ozone Park,Boro Zone,40.6701033,-73.9859723,"(40.6701033, -73.9859723)",40.67,-74.,dr5rk7
180,181,Brooklyn,Park Slope,Boro Zone,40.8389893,-73.8604128,"(40.8389893, -73.8604128)",40.84,-73.9,dr72r6
181,182,Bronx,Parkchester,Boro Zone,40.8505556,-73.8333333,"(40.8505556, -73.8333333)",40.85,-73.8,dr72ru
182,183,Bronx,Pelham Bay,Boro Zone,40.85413105,-73.8221733014434,"(40.85413105, -73.8221733014434)",40.86,-73.8,dr782j
183,184,Bronx,Pelham Bay Park,Boro Zone,40.8575923,-73.85963606359,"(40.8575923, -73.85963606359)",40.86,-73.9,dr72rm
184,185,Bronx,Pelham Parkway,Boro Zone,40.750298,-73.993324,"(40.750298, -73.993324)",40.75,-74.,dr5ru4
185,186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.6331592,-74.1365318,"(40.6331592, -74.1365318)",40.64,-74.1,dr5r0v
186,187,Staten Island,Port Richmond,Boro Zone,40.66143,-73.97035,"(40.66143, -73.97035)",40.66,-74.,dr5rkf
187,188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.6778708,-73.9684725,"(40.6778708, -73.9684725)",40.68,-74.,dr5rkv
188,189,Brooklyn,Prospect Heights,Boro Zone,40.66177525,-73.971099842403,"(40.66177525, -73.971099842403)",40.66,-74.,dr5rkd
189,190,Brooklyn,Prospect Park,Boro Zone,40.7267692,-73.7415208,"(40.7267692, -73.7415208)",40.73,-73.7,dr5x9y
190,191,Queens,Queens Village,Boro Zone,-33.8749139,151.227744284,"(-33.8749139, 151.227744284)",-33.87,151.2,r3gx33
191,192,Queens,Queensboro Hill,Boro Zone,40.7615209,-73.9334640810134,"(40.7615209, -73.9334640810134)",40.76,-73.9,dr5rvs
192,193,Queens,Queensbridge/Ravenswood,Boro Zone,40.7967677,-73.9220815,"(40.7967677, -73.9220815)",40.79,-73.9,dr72jf
193,194,Manhattan,Randalls Island,Yellow Zone,40.6751032,-74.0095841,"(40.6751032, -74.0095841)",40.67,-74.,dr5r7u
194,195,Brooklyn,Red Hook,Boro Zone,40.72293705,-73.8622065151304,"(40.72293705, -73.8622065151304)",40.72,-73.9,dr5rxj
195,196,Queens,Rego Park,Boro Zone,40.6994253,-73.8309672,"(40.6994253, -73.8309672)",40.7,-73.8,dr5rxc
196,197,Queens,Richmond Hill,Boro Zone,40.7080556,-73.9141667,"(40.7080556, -73.9141667)",40.71,-73.9,dr5rw4
197,198,Queens,Ridgewood,Boro Zone,40.79193175,-73.8834937172795,"(40.79193175, -73.8834937172795)",40.79,-73.9,dr72n9
198,199,Bronx,Rikers Island,Boro Zone,39.7922804,-84.2102191,"(39.7922804, -84.2102191)",39.79,-84.2,dph47e
